method;dataset;level;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
FlowSOM;cHL_2_MIBI;level_1;0.8311364500339753;;0.3397492896958007;0.3064441072933508;0.4266538731947379;0.6880125350811576;0.3789143254685843;0.984450075401516;0.6247115972222222
FlowSOM;cHL_2_MIBI;level_2;0.7369696030319569;;0.5568328589154186;0.5404711428837958;0.3931442917795059;0.9006874296811663;0.4769099717490564;0.9878806165879008;0.6247115972222222
FlowSOM;cHL_2_MIBI;level_3;0.5040206598335514;0.6990986268600775;0.4093610240243339;0.4467175329348429;0.2339604467188241;0.7734255595593345;0.3633869198498297;0.9816056441309144;0.6247115972222222
FlowSOM Meta Clusters;cHL_2_MIBI;level_1;0.8178577182376522;;0.2334516253414267;0.0;0.0;0.7449499461693339;0.26694155352662974;1.0;0.6247115972222222
FlowSOM Meta Clusters;cHL_2_MIBI;level_2;0.4759429624800627;;0.1722493795467118;0.1237602874793166;0.0153079387413912;0.5614565061986095;0.20395222324516016;0.9446836291589789;0.6247115972222222
FlowSOM Meta Clusters;cHL_2_MIBI;level_3;0.1217279937064477;0.5553369388593606;0.0566443580938169;0.0740180464781253;0.0026282709304257;0.2941599406850129;0.08111841446405568;0.9644281575474184;0.6247115972222222
Logistic Regression;cHL_2_MIBI;level_1;0.8513679641685308;;0.4331560891523718;0.4236124972521596;0.5246136624331739;0.6937925462063587;0.4327967900872881;0.7601650895164767;0.6249465972222222
Logistic Regression;cHL_2_MIBI;level_2;0.7834618156978516;;0.685905581466867;0.6374483642996718;0.484608444327215;0.883977941396069;0.5348707081786694;0.6245433563174818;0.6249465972222222
Logistic Regression;cHL_2_MIBI;level_3;0.6425076142240813;0.7588450040589226;0.607094511674777;0.5988874354795548;0.4017999374971682;0.8226340012676097;0.47485768285860597;0.5802230127696841;0.6249465972222222
MAPS;cHL_2_MIBI;level_1;0.9213366627021984;;0.7630994697222393;0.6843710570272274;0.6406851242903707;0.9419300242270516;0.601194384232721;0.8027565966055996;0.6116916840277777
MAPS;cHL_2_MIBI;level_2;0.8398162470847199;;0.7585602789570578;0.7256212753080084;0.5957537708267652;0.930820118146656;0.5905656262303084;0.7017315638832833;0.6116916840277777
MAPS;cHL_2_MIBI;level_3;0.7171140541395257;0.8208975351390062;0.6962222859888569;0.6818384929166517;0.4976792660554954;0.8784610523800829;0.5355800720134754;0.5371629940111129;0.6116916840277777
Most Frequent;cHL_2_MIBI;level_1;0.8186432815663979;;0.2334844843424915;0.0;0.0;0.7463249882764676;0.2672388205122981;0.8333925544211905;0.5
Most Frequent;cHL_2_MIBI;level_2;0.3487747397279022;;0.1308563485201013;0.0;0.0;0.442010757494379;0.1350165189598101;0.2260851415142893;0.5
Most Frequent;cHL_2_MIBI;level_3;0.0524674046148286;0.448288916512865;0.0227534993874736;0.0;0.0;0.1830151074927369;0.03490729751499572;0.8066762141589922;0.5
Random Forest;cHL_2_MIBI;level_1;0.8828960263993337;;0.4751122572167556;0.5041355568375547;0.6774140408783783;0.7293173411863941;0.47882413124739304;0.8310702927013142;0.6247924131944445
Random Forest;cHL_2_MIBI;level_2;0.8510217128098141;;0.770126334202691;0.739312944213933;0.6286540755006602;0.931242364917916;0.6000927395630978;0.7516099144204057;0.6247924131944445
Random Forest;cHL_2_MIBI;level_3;0.7228994087438387;0.8388231030843603;0.704028167150587;0.6900867673793641;0.499009850470601;0.879503790011721;0.539948135144059;0.5027565824749585;0.6247924131944445
RIBCA;cHL_2_MIBI;level_1;0.8239348249959704;;0.2156182221705593;0.161199912898244;0.1950701891001186;0.7929809954798751;0.3179565335987104;1.0;0.9357132523148148
RIBCA;cHL_2_MIBI;level_2;0.6946799947397733;;0.2722839202306945;0.4853873654368509;0.3578955353714973;0.7943561340254223;0.38663743520464333;1.0;0.9357132523148148
RIBCA;cHL_2_MIBI;level_3;0.4070483927317905;0.6731894464232918;0.263982510888272;0.388091835599202;0.2204061305317642;0.6295392656597871;0.2887198144562969;1.0;0.9357132523148148
RIBCA_adapted;cHL_2_MIBI;level_1;0.9118905365500708;;0.3349189678962095;0.1615200724036921;0.1739291114115051;0.8756284210640242;0.36418003334859494;1.0;0.9357132523148148
RIBCA_adapted;cHL_2_MIBI;level_2;0.765167618403072;;0.3892187400816336;0.5407566981898885;0.3818688907775805;0.8702208997334884;0.443397925829021;1.0;0.9357132523148148
RIBCA_adapted;cHL_2_MIBI;level_3;0.4475380836978211;0.7210461134311771;0.3605613897228592;0.4170658776637214;0.2362238433161302;0.6598574404565736;0.3252123471890468;1.0;0.9357132523148148
Scyan;cHL_2_MIBI;level_1;0.8195597746267402;;0.3672259227485342;0.2948954329808186;0.247442819917464;0.7860348687424165;0.3776734449286362;0.9160412416372832;0.8718091319444444
Scyan;cHL_2_MIBI;level_2;0.6884919316096126;;0.478838401126138;0.5060931858579126;0.3449429613973285;0.7718902370026763;0.4273672918064556;0.851595456667854;0.8718091319444444
Scyan;cHL_2_MIBI;level_3;0.4865317052397719;0.6674858193041674;0.4500254242227613;0.449005324976495;0.2527580385094806;0.7001659218383525;0.3618917763795755;0.808105903382649;0.8718091319444444
Starling;cHL_2_MIBI;level_1;0.7827011238281296;;0.1830789813705225;0.1375761481392849;0.2185559042824731;0.6205919131224003;0.2813187076317481;0.9775838250730036;0.6010189930555556
Starling;cHL_2_MIBI;level_2;0.6221691848730961;;0.3284036251943418;0.3574383853888687;0.2679297545643141;0.7801005012191597;0.35176191220778175;0.9634980756214836;0.6010189930555556
